callsign;actype;wake;from;to;sector;phase;remark;spawntime;entrytime;entrysector
KLM726;E190;M;EGGD;EHAM;Inbound;cruise;;00:45:26;00:45:26;West
J-368;F35;M;;EHVK;Inbound;cruise;;00:45:28;00:45:28;West
KLM645;CRJ9;M;EHAM;EDDM;Schiphol Departure;departure;;00:45:43;00:45:43;Schiphol Departure
KLM680;F100;M;EGPD;EHAM;Inbound;cruise;;00:46:05;00:46:05;West
TRA251;B738;M;EGSS;EHAM;Inbound;cruise;;00:46:08;00:46:08;West
QO309;B738;M;LEAL;EHAM;Inbound;cruise;;00:46:17;00:46:17;South
KLM654;B738;M;EHAM;LFPO;Schiphol Departure;departure;;00:46:37;00:46:37;Schiphol Departure
J-365;F35;M;;EHVK;Inbound;cruise;;00:46:48;00:46:48;West
KLM963;DR40;L;EHRD;EBSP;Schiphol Departure;departure;;00:47:08;00:47:08;Schiphol Departure
PH-EOS;C550;L;EHAM;EHRD;Schiphol Departure;departure;;00:47:13;00:47:13;Schiphol Departure
KLM865;A333;H;EDDH;EHAM;Inbound;cruise;;00:47:16;00:47:16;East
KLM712;E190;M;LIME;EHLE;Inbound;cruise;;00:47:17;00:47:17;South
KLM189;B738;M;EHAM;LPPT;Schiphol Departure;departure;;00:48:07;00:48:07;Schiphol Departure
PH-EFJ;B789;H;KIAH;EHAM;Inbound;cruise;;00:48:31;00:48:31;South
KLM803;F100;M;EHAM;LFLC;Schiphol Departure;departure;;00:48:43;00:48:43;Schiphol Departure
PH-PDJ;TAMP;M;EHLE;EHRD;North;departure;;00:48:59;00:48:59;North
KLM294;A319;M;LBSF;EHAM;Inbound;cruise;;00:49:07;00:49:07;South
J-220;F35;M;;EHLW;Inbound;cruise;;00:49:37;00:49:37;West
KLM367;B733;M;EHAM;;Schiphol Departure;departure;;00:49:37;00:49:37;Schiphol Departure
KLM941_2;B738;M;EHEH;EGSS;South;departure;;00:49:37;00:49:37;South
KLM280;B789;H;EHAM;ZBAA;Schiphol Departure;departure;;00:50:13;00:50:13;Schiphol Departure
KLM981;E190;M;LIRQ;EHAM;Inbound;cruise;;00:50:39;00:50:39;South
J-975;F35;M;EHLW;;North;departure;;00:50:50;00:50:50;North
KLM696;A319;M;EHAM;;Schiphol Departure;departure;;00:51:07;00:51:07;Schiphol Departure
J-486;EC35;L;EHVK;EHAM;South;departure;;00:51:28;00:51:28;South
TZ424;B738;M;ETNG;LTAN;Inbound;cruise;;00:51:32;00:51:32;South
TRA491;A320;M;LEMD;EHAM;Inbound;cruise;;00:51:38;00:51:38;South
KLM398_2;B738;M;LFMN;EHEH;Inbound;cruise;;00:51:38;00:51:38;South
TRA449;A319;M;LIML;EHAM;Inbound;cruise;;00:51:38;00:51:38;South
KLM778;E190;M;EHAM;LFMT;Schiphol Departure;departure;;00:51:43;00:51:43;Schiphol Departure
KLM471;B738;M;ENCN;EHRD;Inbound;cruise;;00:52:16;00:52:16;North
J-129;F35;M;;EHVK;Inbound;cruise;;00:52:26;00:52:26;West
TRA187;A320;M;EHAM;EGCC;Schiphol Departure;departure;;00:52:37;00:52:37;Schiphol Departure
KLM615;B738;M;EHAM;EDDH;Schiphol Departure;departure;;00:53:13;00:53:13;Schiphol Departure
PH-ULI;TB20;L;EHLE;EHBK;North;departure;;00:53:33;00:53:33;North
TRA786;GALX;L;LEZL;EHRD;Inbound;cruise;;00:54:39;00:54:39;South
TRA509;B737;M;EHAM;EGPD;Schiphol Departure;departure;;00:54:43;00:54:43;Schiphol Departure
NH-546;A139;L;;EHKD;Inbound;cruise;;00:54:53;00:54:53;West
TRA843;B738;M;EHAM;EKCH;Schiphol Departure;departure;;00:55:37;00:55:37;Schiphol Departure
KLM175;B738;M;LEMG;EHAM;Inbound;cruise;;00:55:43;00:55:43;South
KLM449;B733;M;EHAM;EVRA;Schiphol Departure;departure;;00:56:13;00:56:13;Schiphol Departure
TRA605;B738;M;LTAI;EHRD;Inbound;cruise;;00:56:38;00:56:38;South
KLM836;B738;M;EHEH;;South;departure;;00:56:54;00:56:54;South
J225;F35;M;EHLE;;North;departure;;00:57:00;00:57:00;North
KLM978;B38M;M;EHAM;LTAI;Schiphol Departure;departure;;00:57:07;00:57:07;Schiphol Departure
TRA633;B738;M;LEMG;EHRD;Inbound;cruise;;00:57:32;00:57:32;South
KLM873;E190;M;EHAM;EDDV;Schiphol Departure;departure;;00:57:43;00:57:43;Schiphol Departure
KLM113;B737;M;LFMN;EHAM;Inbound;cruise;;00:58:22;00:58:22;South
KLM758;B738;M;EHAM;EGBB;Schiphol Departure;departure;;00:58:37;00:58:37;Schiphol Departure
J-922;EC35;L;EHVK;EHAM;South;departure;;00:58:39;00:58:39;South
KLM636;B738;M;LEIB;EHAM;Inbound;cruise;;00:58:47;00:58:47;South
KLM998;E190;M;EHAM;LIPE;Schiphol Departure;departure;;00:59:13;00:59:13;Schiphol Departure
TRA302;A320;M;EHEH;EPWA;South;departure;;00:59:16;00:59:16;South
J229;F35;M;EHLE;;North;departure;;01:02:00;01:02:00;North
J230;F35;M;EHLE;;North;departure;;01:02:02;01:02:02;North
J231;F35;M;EHLE;;North;departure;;01:11:10;01:11:10;North
J232;F35;M;EHLE;;North;departure;;01:11:12;01:11:12;North
J233;F35;M;EHLE;;North;departure;;01:17:00;01:17:00;North
J234;F35;M;EHLE;;North;departure;;01:17:02;01:17:02;North
J235;F35;M;EHLE;;North;departure;;01:18:10;01:18:10;North
J236;F35;M;EHLE;;North;departure;;01:18:12;01:18:12;North
J237;F35;M;EHLE;;North;departure;;01:21:00;01:21:00;North
J238;F35;M;EHLE;;North;departure;;01:21:02;01:21:02;North
J239;F35;M;EHLE;;North;departure;;01:23:10;01:23:10;North
